rank,country,region,score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,dystopia,population,year,sqrt_of_population,posx
94,Mozambique,Sub-Saharan Africa,4.971,0.08308,1.02626,0.09131,0.34037,0.22269,0.15603,3.05137,27000000.0,2015,5196.152422706632,34.559989
95,Albania,Central and Eastern Europe,4.959,0.8786700000000001,0.8043399999999999,0.81325,0.35733000000000004,0.14272,0.06412999999999999,1.89894,2890000.0,2015,1700.0,20.590247
96,Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.8322299999999999,0.9191600000000001,0.79081,0.09245,0.24808000000000002,0.00227,2.06367,3430000.0,2015,1852.0259177452135,19.005486
97,Lesotho,Sub-Saharan Africa,4.898,0.37545,1.04103,0.07612000000000001,0.31767,0.16388,0.12504,2.79832,2060000.0,2015,1435.2700094407323,28.978263
98,Dominican Republic,Latin America and Caribbean,4.885,0.8953700000000001,1.17202,0.66825,0.57672,0.21684,0.14234000000000002,1.21305,10300000.0,2015,3209.3613071762425,-71.712361
99,Laos,Southeastern Asia,4.876,0.5906600000000001,0.73803,0.54909,0.59591,0.42191999999999996,0.24249,1.7379900000000001,6740000.0,2015,2596.150997149434,105.218777
100,Mongolia,Eastern Asia,4.874,0.82819,1.3006,0.60268,0.43626000000000004,0.3323,0.026660000000000003,1.34759,3000000.0,2015,1732.0508075688772,87.751264
101,Swaziland,Sub-Saharan Africa,4.867,0.71206,1.07284,0.07566,0.30658,0.18259,0.0306,2.48676,1100000.0,2015,1048.8088481701516,32.071665
102,Greece,Western Europe,4.857,1.15406,0.9293299999999999,0.88213,0.07699,0.0,0.013969999999999998,1.8010099999999998,10700000.0,2015,3271.0854467592253,23.69998
103,Lebanon,Middle East and Northern Africa,4.8389999999999995,1.0256399999999999,0.80001,0.83947,0.33916,0.21854,0.04582,1.57059,6530000.0,2015,2555.3864678361274,35.821101
104,Hungary,Central and Eastern Europe,4.8,1.12094,1.20215,0.75905,0.32111999999999996,0.128,0.02758,1.24074,9780000.0,2015,3127.299154222378,16.202298
105,Honduras,Latin America and Caribbean,4.788,0.59532,0.9534799999999999,0.6951,0.40148,0.23026999999999997,0.06825,1.84408,9110000.0,2015,3018.277654557314,-87.316654
106,Tajikistan,Central and Eastern Europe,4.7860000000000005,0.39047,0.8556299999999999,0.5737899999999999,0.47216,0.22974,0.15072,2.1139900000000003,8450000.0,2015,2906.8883707497266,71.014198
107,Tunisia,Middle East and Northern Africa,4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358,2.12466,11200000.0,2015,3346.640106136302,9.48214
108,Palestinian Territories,Middle East and Northern Africa,4.715,0.59867,0.92558,0.66015,0.24499,0.11250999999999999,0.12905,2.0438400000000003,4530000.0,2015,2128.379665379276,35.719918
109,Bangladesh,Southern Asia,4.694,0.39753,0.43106000000000005,0.60164,0.4082,0.21222,0.12569,2.51767,156000000.0,2015,12489.995996796797,92.672721
110,Iran,Middle East and Northern Africa,4.686,1.0088,0.54447,0.69805,0.30033000000000004,0.38086,0.058629999999999995,1.6944,78500000.0,2015,8860.022573334676,53.921598
111,Ukraine,Central and Eastern Europe,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,1.5714,44900000.0,2015,6700.7462271003815,31.785998
112,Iraq,Middle East and Northern Africa,4.677,0.98549,0.81889,0.60237,0.0,0.17922000000000002,0.13788,1.95335,35600000.0,2015,5966.573556070519,45.420618
113,South Africa,Sub-Saharan Africa,4.6419999999999995,0.9204899999999999,1.18468,0.27688,0.33207,0.11972999999999999,0.08884,1.7195599999999998,55400000.0,2015,7443.117626371358,31.521001
114,Ghana,Sub-Saharan Africa,4.633,0.5455800000000001,0.6795399999999999,0.40131999999999995,0.42341999999999996,0.23087,0.04355,2.30919,27800000.0,2015,5272.570530585627,1.060122
115,Zimbabwe,Sub-Saharan Africa,4.61,0.271,1.0327600000000001,0.33475,0.25861,0.18987,0.08079,2.44191,13800000.0,2015,3714.835124201342,31.191409
116,Liberia,Sub-Saharan Africa,4.571000000000001,0.0712,0.78968,0.34201,0.28531,0.24361999999999998,0.06232000000000001,2.7772900000000003,4470000.0,2015,2114.2374511865974,-7.712159
117,India,Southern Asia,4.565,0.64499,0.38174,0.5152899999999999,0.39786,0.26475,0.08492000000000001,2.27513,1310000000.0,2015,36193.92214170771,77.837451
118,Sudan,Sub-Saharan Africa,4.55,0.52107,1.01404,0.36878,0.10081,0.19062,0.1466,2.20857,38900000.0,2015,6236.98645180507,33.963393
118,South Sudan,Sub-Saharan Africa,4.55,0.52107,1.01404,0.36878,0.10081,0.19062,0.1466,2.20857,38900000.0,2015,6236.98645180507,33.963393
119,Haiti,Latin America and Caribbean,4.518,0.26673,0.74302,0.38847,0.24425,0.46187,0.17175,2.24173,10700000.0,2015,3271.0854467592253,-73.189791
120,Congo (Kinshasa),Sub-Saharan Africa,4.5169999999999995,0.0,1.0012,0.09806000000000001,0.22605,0.24834,0.07625,2.86712,76200000.0,2015,8729.261137118077,30.83386
121,Nepal,Southern Asia,4.513999999999999,0.35996999999999996,0.86449,0.5687399999999999,0.38282,0.32295999999999997,0.059070000000000004,1.9563700000000002,27000000.0,2015,5196.152422706632,88.120441
122,Ethiopia,Sub-Saharan Africa,4.512,0.19072999999999998,0.60406,0.44055,0.4345,0.24325,0.15048,2.44876,101000000.0,2015,10049.875621120891,37.90607
123,Sierra Leone,Sub-Saharan Africa,4.507,0.33024000000000003,0.9557100000000001,0.0,0.4084,0.21488000000000002,0.08786000000000001,2.51009,7170000.0,2015,2677.6855677991766,-11.438779
124,Mauritania,Sub-Saharan Africa,4.436,0.45407,0.86908,0.35874,0.24231999999999998,0.21899999999999997,0.17461,2.11773,4050000.0,2015,2012.4611797498108,-12.17075
125,Kenya,Sub-Saharan Africa,4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839,1.78555,47900000.0,2015,6920.982589199311,40.993
126,Djibouti,Sub-Saharan Africa,4.369,0.44025,0.59207,0.36291,0.46074,0.18093,0.28105,2.05125,914000.0,2015,956.0334722173696,43.081226
127,Armenia,Central and Eastern Europe,4.35,0.7682100000000001,0.7771100000000001,0.7299,0.19847,0.07855,0.039,1.75873,2930000.0,2015,1711.724276862369,43.582746
