,rank,country,region,score,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,year,social_support
142,143,Gabon,Sub-Saharan Africa,3.896,2.6627458,1.787233993,2.144016286,0.5453463873,0.9402816132,2015,2.837172343
143,144,Niger,Sub-Saharan Africa,3.845,0.1742950261,1.224139081,3.203999019,1.549784581,1.325855572,2015,0.1857124431
144,145,Cambodia,Southeastern Asia,3.819,1.156223979,2.518330219,4.45047637,3.226273064,0.614391926,2015,1.231963898
145,146,Tanzania,Sub-Saharan Africa,3.781,0.7162671679,1.57472902,2.208778826,2.748075749,0.4872237338,2015,0.7631871579
146,147,Madagascar,Sub-Saharan Africa,3.681,0.5229855366,1.925236544,1.288801417,1.705346596,0.688742929,2015,0.557244368
147,148,Central African Republic,Sub-Saharan Africa,3.678,0.1971492731,0.2760463092,3.283742935,1.905354902,0.7027314302,2015,0.2100637864
148,149,Chad,Sub-Saharan Africa,3.667,0.8587420502,0.6185184506,1.578822045,1.469765271,0.4466994698,2015,0.9149950382
149,150,Guinea,Sub-Saharan Africa,3.656,0.4374202406,0.9893410713,2.534405414,2.290822548,1.02912979,2015,0.4660740087
150,151,Ivory Coast,Sub-Saharan Africa,3.655,1.168680799,0.6257296917,3.148507465,1.611977411,1.519405561,2015,1.245236718
151,152,Burkina Faso,Sub-Saharan Africa,3.587,0.6482569473,1.11774237,2.653181525,1.738441496,1.087881495,2015,0.6907218415
152,153,Afghanistan,Southern Asia,3.575,0.8032137645,1.250017135,1.572977293,2.918586426,0.8239651067,2015,0.8558293017
153,154,Rwanda,Sub-Saharan Africa,3.465,0.5577440836,1.766300791,3.977185816,1.808868081,4.679026464,2015,0.5942798178
154,155,Benin,Sub-Saharan Africa,3.34,0.7199087786,1.314918305,3.254922261,1.45969291,0.6790781464,2015,0.767067317
155,156,Syria,Middle East and Northern Africa,3.006,1.665597425,2.974863591,1.053667714,3.771459573,1.602827895,2015,1.774704499
156,157,Burundi,Sub-Saharan Africa,2.905,0.03842527233,0.922874032,0.7960955376,1.576963967,0.8530442334,2015,0.04094236857
157,158,Togo,Sub-Saharan Africa,2.839,0.5240905771,1.172053317,2.448951108,1.333468644,0.9097612471,2015,0.5584217956
,1,Denmark,Western Europe,7.526,3.573510328,3.543333662,4.026505559,2.712504208,4.034643522,2016,4.326323471
1,2,Switzerland,Western Europe,7.509,3.78554948,3.846351442,4.06931337,2.105975938,3.739666998,2016,4.257547813
2,3,Iceland,Western Europe,7.501,3.536034794,3.865515679,3.934983013,3.575427155,1.359161063,2016,4.398891084
3,4,Norway,Western Europe,7.498,3.909749152,3.546676262,4.142420218,2.841788918,3.247101583,2016,4.189366971
4,5,Finland,Western Europe,7.413,3.484778573,3.614063066,3.968339749,1.911673917,3.721605358,2016,4.21814122
5,6,Canada,North America,7.404,3.569470307,3.688447045,3.986824941,3.362152377,2.843482935,2016,4.074864795
6,7,Netherlands,Western Europe,7.339,3.630268909,3.620302585,3.83678912,3.555779478,2.716234601,2016,3.825859737
7,8,New Zealand,Australia and New Zealand,7.334,3.372451111,3.703421891,4.040821158,3.704636874,3.803291165,2016,4.359930603
8,9,Australia,Australia and New Zealand,7.313,3.580078461,3.793627507,3.949785065,3.555104558,2.934426467,2016,4.107059238
9,10,Sweden,Western Europe,7.291,3.598370091,3.70453609,4.045755175,2.868710734,3.709170963,2016,4.043413872
10,11,Israel,Middle East and Northern Africa,7.267,3.315444676,3.784580205,2.531776298,2.421313645,0.7921708021,2016,3.700390631
11,12,Austria,Western Europe,7.119,3.594825778,3.590620302,3.77730294,2.464583528,1.937587338,2016,4.029249804
12,13,United States,North America,7.104,3.737540148,3.471846602,3.347001039,3.080410697,1.349449529,2016,3.895378915
13,14,Costa Rica,Latin America and Caribbean,7.087,2.649039454,3.393674344,3.837762025,1.691274983,0.9572668938,2016,3.797605953
15,16,Germany,Western Europe,6.994,3.588604641,3.631711991,3.715523484,2.283629928,2.591346078,2016,4.080961664
16,17,Brazil,Latin America and Caribbean,6.952,2.695512091,2.737143249,2.80926265,1.183060086,1.285734599,2016,3.864002345
17,18,Belgium,Western Europe,6.929,3.532887047,3.652748083,3.568753844,1.817785021,2.382321175,2016,3.912740122
18,19,Ireland,Western Europe,6.907,3.676691975,3.630285815,3.753188799,3.371826233,2.700532773,2016,4.318256272
19,20,Luxembourg,Western Europe,6.871,4.207372312,3.767867208,3.813091938,2.067580479,3.206530965,2016,3.866270083
20,21,Mexico,Latin America and Caribbean,6.778,2.7637711,3.170700678,2.620519116,0.8800209249,1.665936649,2016,2.656599199
21,22,Singapore,Southeastern Asia,6.739,4.078562555,4.221435665,3.389183412,2.452659938,4.26463445,2016,3.225318127
22,23,United Kingdom,Western Europe,6.725,3.47697117,3.609606267,3.477161805,3.761255178,2.486788245,2016,4.039993677
23,24,Chile,Latin America and Caribbean,6.705,3.0156404,3.649360916,2.626078572,2.369344791,1.039315749,2016,3.367665151
24,25,Panama,Latin America and Caribbean,6.701,2.932262293,3.156973737,3.400093845,1.813285553,0.7644883898,2016,3.677155612
25,26,Argentina,Latin America and Caribbean,6.65,2.85371734,3.106879313,2.938450511,0.8240775411,0.6621996072,2016,3.963411053
26,27,Czech Republic,Central and Eastern Europe,6.596,3.244781483,3.403924982,2.878269399,0.744586942,0.3617773622,2016,3.747083726
27,28,United Arab Emirates,Middle East and Northern Africa,6.573,3.900033272,3.253151464,3.906560294,1.99408917,3.227587751,2016,3.238552794
28,29,Uruguay,Latin America and Caribbean,6.545,2.928569267,3.21705139,3.779596215,1.354039865,1.94176239,2016,3.8344474
29,30,Malta,Western Europe,6.488,3.241485024,3.579478304,3.821709095,4.217276247,1.593236281,2016,4.084865147
30,31,Colombia,Latin America and Caribbean,6.481,2.553689995,2.658881854,3.108778346,1.171811417,0.4900240789,2016,3.798237946
