,rank,country,region,score,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,year,social_support
97,98,Dominican Republic,Latin America and Caribbean,4.885,49.73279886,56.93479789,85.61744756,27.24531336,24.98425402,2015,54.14252491
98,99,Laos,Southeastern Asia,4.876,32.80786152,46.78238408,88.466315,53.01301704,42.56310072,2015,34.09396398
99,100,Mongolia,Eastern Asia,4.874,46.00132537,51.34824389,64.76534136,41.7525255,4.679501281,2015,60.08239441
100,101,Swaziland,Sub-Saharan Africa,4.867,39.55095296,6.446220438,45.51358905,22.94190079,5.371070486,2015,49.56081502
101,102,Greece,Western Europe,4.857,64.10158242,75.1573412,11.42961452,22.94190079,2.452086754,2015,42.93124066
102,103,Lebanon,Middle East and Northern Africa,4.839,56.96856922,71.52271571,50.35028006,27.45891341,8.042563715,2015,36.95718619
103,104,Hungary,Central and Eastern Europe,4.8,62.26195155,64.67094401,47.67213684,16.08282656,4.840984446,2015,55.53440754
104,105,Honduras,Latin America and Caribbean,4.788,33.06669848,59.22241377,59.60204754,28.93275367,11.97959349,2015,44.04687177
105,106,Tajikistan,Central and Eastern Europe,4.786,21.68842598,48.88682032,70.09490576,28.86616073,26.45515502,2015,39.52660244
106,107,Tunisia,Middle East and Northern Africa,4.739,48.94184646,62.87152322,38.99637801,8.080363873,11.1598909,2015,27.9157236
107,108,Palestinian Territories,Middle East and Northern Africa,4.715,33.25277227,56.24467912,36.37019435,14.13655325,22.65152439,2015,42.75800601
108,109,Bangladesh,Southern Asia,4.694,22.08056952,51.25963606,60.59967073,26.66482384,22.06175979,2015,19.91320693
109,110,Iran,Middle East and Northern Africa,4.686,56.03320135,59.47375333,44.5857401,47.85394784,10.29104126,2015,25.15228455
110,111,Ukraine,Central and Eastern Europe,4.681,44.38387212,57.41617701,37.29655874,19.19259184,5.197300559,2015,55.56351096
111,112,Iraq,Middle East and Northern Africa,4.677,54.73846113,51.32183196,37.29655874,22.51847013,24.20141173,2015,37.82936488
112,113,South Africa,Sub-Saharan Africa,4.642,51.12807445,23.59013369,49.29772822,15.04372518,15.59365693,2015,54.72736507
113,114,Ghana,Sub-Saharan Africa,4.633,30.3039195,34.19240267,62.85916849,29.00814194,7.644121559,2015,31.39196548
114,115,Zimbabwe,Sub-Saharan Africa,4.61,15.05253526,28.52064884,38.39216279,23.85661156,14.18067924,2015,47.70928314
115,116,Liberia,Sub-Saharan Africa,4.571,3.95476203,29.13919974,42.35593351,30.61014223,10.93872917,2015,36.47998248
116,117,India,Southern Asia,4.565,35.82558935,43.90262926,59.06463742,33.26506509,14.90559823,2015,17.63482488
117,118,Sudan,Sub-Saharan Africa,4.55,28.94252601,31.41999964,14.96583245,23.95084685,25.73199129,2015,46.84449579
118,119,Haiti,Latin America and Caribbean,4.518,14.81536062,33.09758463,36.26033702,58.03261798,30.14644955,2015,12.32183382
119,120,Congo (Kinshasa),Sub-Saharan Africa,4.517,14.81536062,8.354697014,33.55844089,31.20319645,13.38379492,2015,12.32183382
120,121,Nepal,Southern Asia,4.514,19.99432146,48.45656108,56.83186169,40.57898176,10.36827234,2015,16.62914002
121,122,Ethiopia,Sub-Saharan Africa,4.512,10.59398542,37.53479267,64.5040591,30.56365282,26.41302898,2015,8.810945015
122,123,Sierra Leone,Sub-Saharan Africa,4.507,18.34298614,37.53479267,60.62936189,26.99904508,15.42164225,2015,15.25573576
123,124,Mauritania,Sub-Saharan Africa,4.436,25.22105049,30.56459319,35.97381727,27.51671107,30.64845155,2015,20.97617471
124,125,Kenya,Sub-Saharan Africa,4.419,20.25760197,35.30255668,62.67062959,47.1704277,10.24891522,2015,16.84810862
125,126,Djibouti,Sub-Saharan Africa,4.369,24.45342673,30.91987654,68.39954014,22.73332663,49.33135164,2015,20.3377473
126,127,Armenia,Central and Eastern Europe,4.35,42.66977161,62.18736847,29.46402903,9.869578328,6.845481994,2015,35.4881564
127,128,Botswana,Sub-Saharan Africa,4.332,55.18614908,4.069144702,73.47821417,13.1439413,21.89501086,2015,45.89794169
128,129,Myanmar,Southeastern Asia,4.307,15.05697881,41.10551828,65.34580368,100,33.40946262,2015,12.522786
129,130,Georgia,Central and Eastern Europe,4.297,41.20839819,62.13284056,60.23892304,6.969643665,67.28055648,2015,34.27274213
130,131,Malawi,Sub-Saharan Africa,4.292,0.890932345,19.22278952,63.91617401,41.62436547,12.24639176,2015,0.7409823207
131,132,Sri Lanka,Southern Asia,4.271,46.39291345,60.3266038,79.75938042,51.29919083,16.11145621,2015,38.58466793
132,133,Cameroon,Sub-Saharan Africa,4.252,23.46751346,19.93846824,73.20208632,25.90591546,10.15588688,2015,19.51776998
133,134,Bulgaria,Central and Eastern Europe,4.218,56.21983057,65.30483087,45.40818541,14.9783887,1.530579563,2015,46.75764749
134,135,Egypt,Middle East and Northern Africa,4.194,48.97906121,52.57852969,25.66504427,14.18681208,11.10021234,2015,40.73554928
135,136,Yemen,Middle East and Northern Africa,4.077,30.35446492,34.13446677,52.80722409,11.4728351,13.78574758,2015,25.24560028
136,137,Angola,Sub-Saharan Africa,4.033,42.09044341,14.21389051,15.41565362,15.50987586,12.50090327,2015,35.00633311
137,138,Mali,Sub-Saharan Africa,3.995,14.4826496,17.53668455,57.68548274,23.61913856,21.68087014,2015,12.04512034
138,139,Congo (Brazzaville),Sub-Saharan Africa,3.989,37.69576966,26.45540455,61.5586954,15.56516058,20.51187245,2015,31.35131308
139,140,Comoros,Sub-Saharan Africa,3.956,13.27844678,30.9403245,34.02162308,21.91410765,34.92951069,2015,11.04359312
140,141,Uganda,Sub-Saharan Africa,3.931,11.72098151,28.84952026,67.8843984,36.52058098,12.75541478,2015,9.748259933
141,142,Senegal,Sub-Saharan Africa,3.904,20.27259896,37.09601347,54.59017864,26.1886214,18.80401246,2015,16.86058151
142,143,Gabon,Sub-Saharan Africa,3.896,58.89040584,36.95287771,47.37819431,8.571643966,19.46749764,2015,48.97874662
143,144,Niger,Sub-Saharan Africa,3.845,3.854782091,25.31031859,70.80155551,24.35919988,27.45038279,2015,3.205995827
144,145,Cambodia,Southeastern Asia,3.819,25.57153573,52.0690346,98.34605063,50.70990601,12.72030974,2015,21.26767087
145,146,Tanzania,Sub-Saharan Africa,3.781,15.84126589,32.5591216,48.80930853,43.19369755,10.08743206,2015,13.17507219
146,147,Madagascar,Sub-Saharan Africa,3.681,11.56656805,39.8062206,28.47976685,26.8042921,14.25966557,2015,9.619835316
147,148,Central African Republic,Sub-Saharan Africa,3.678,4.360236228,5.707537763,72.56372624,29.94798211,14.54928211,2015,3.626378565
148,149,Chad,Sub-Saharan Africa,3.667,18.9923003,12.78849706,34.88860514,23.10147259,9.248421696,2015,15.79576589
149,150,Guinea,Sub-Saharan Africa,3.656,9.674169983,20.45563131,56.00496271,36.00668443,21.30700151,2015,8.045940823
